ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,53c4968b-4d7b-4197-98e3-04c19b8c3bfc,efab7164-d145-4baa-8433-debf2f2e6d82,65,000,0,0,000,92000000000145000,0.0,2079-06-06,ТСН СТ Кальфа-1,9203,9203,,,67263000000,67302000,20,6fdecb78-893a-4e3f-a5ba-aa062459463b,000,920000000001450,299043,e0aaddce-3908-41ad-8913-ad4cea6a6448,92,тер. ТСН,2020-08-28,0000,,,2020-08-30,000,0000,000,1,,1450,,0
0,53c4968b-4d7b-4197-98e3-04c19b8c3bfc,e0aaddce-3908-41ad-8913-ad4cea6a6448,65,000,0,0,000,92000000000145000,0.0,2079-06-06,ТСН СТ Кальфа-1,9203,9203,efab7164-d145-4baa-8433-debf2f2e6d82,,67263000000,67302000,21,6fdecb78-893a-4e3f-a5ba-aa062459463b,000,920000000001450,,53c4968b-4d7b-4197-98e3-04c19b8c3bfc,92,тер. ТСН,2017-01-04,0000,,,2020-08-30,000,0000,000,0,5d92b12c-cef8-408f-a8b4-500492665402,1450,,0
0,53c4968b-4d7b-4197-98e3-04c19b8c3bfc,53c4968b-4d7b-4197-98e3-04c19b8c3bfc,65,000,0,0,000,92000000000145001,1.0,2079-06-06,ТСН СТ Кальфа-1,9202,9202,e0aaddce-3908-41ad-8913-ad4cea6a6448,,67263000000,67302000,10,6fdecb78-893a-4e3f-a5ba-aa062459463b,000,920000000001450,299001,,92,тер. ТСН,2016-11-07,0000,,,2020-08-30,000,0000,000,0,bacbd7b2-b52a-41b7-8aee-cda8fdb7d80a,1450,,0
1,e089c4e1-dea3-40af-8042-73d971593471,292d1db9-307c-484f-a923-1a46b2e0bf72,7,000,0,0,000,92000000000098300,0.0,2079-06-06,Лесхозная,9201,9201,,,67264000000,67310000,20,6fdecb78-893a-4e3f-a5ba-aa062459463b,000,920000000000983,299020,f37adac8-4b85-40b2-9889-256eb90b23b0,92,ул,2020-08-28,0983,,,2020-08-30,000,0000,000,1,,0000,,0
0,e089c4e1-dea3-40af-8042-73d971593471,f37adac8-4b85-40b2-9889-256eb90b23b0,7,000,0,0,000,92000000000098300,0.0,2079-06-06,Лесхозная,9201,9201,292d1db9-307c-484f-a923-1a46b2e0bf72,,67264000000,67310000,20,6fdecb78-893a-4e3f-a5ba-aa062459463b,000,920000000000983,,04bda8d9-2b1e-4682-9f4b-9ee7093158fd,92,ул,2020-02-06,0983,,,2020-08-30,000,0000,000,0,,0000,,0
0,e089c4e1-dea3-40af-8042-73d971593471,04bda8d9-2b1e-4682-9f4b-9ee7093158fd,7,000,0,0,000,92000000000098300,0.0,2079-06-06,Лесхозная,9201,9201,f37adac8-4b85-40b2-9889-256eb90b23b0,,67269000000,67310000,20,6fdecb78-893a-4e3f-a5ba-aa062459463b,000,920000000000983,,330ef47c-6d8a-45a5-9f41-731b36e9cc4c,92,ул,2019-08-21,0983,,,2020-08-30,000,0000,000,0,ea60a874-b12d-42e1-ad3f-66ef48ef8721,0000,,0
0,e089c4e1-dea3-40af-8042-73d971593471,330ef47c-6d8a-45a5-9f41-731b36e9cc4c,7,000,0,0,000,92000000000098305,5.0,2019-08-21,Лесхозная,9201,9201,04bda8d9-2b1e-4682-9f4b-9ee7093158fd,,67269000000,67310000,21,6fdecb78-893a-4e3f-a5ba-aa062459463b,000,920000000000983,299055,220676d2-4d77-4b1e-88a0-affaa9579684,92,ул,2016-05-16,0983,,,2020-08-30,000,0000,000,0,,0000,,0
0,e089c4e1-dea3-40af-8042-73d971593471,220676d2-4d77-4b1e-88a0-affaa9579684,7,000,0,0,000,92000000000098304,4.0,2016-05-16,Лесхозная,9201,9201,330ef47c-6d8a-45a5-9f41-731b36e9cc4c,,67269000000,67310000,21,6fdecb78-893a-4e3f-a5ba-aa062459463b,000,920000000000983,299055,7c2c7109-a5ac-496c-a39d-556fa5f0ac2e,92,ул,2016-05-11,0983,,,2020-08-30,000,0000,000,0,,0000,,0
0,e089c4e1-dea3-40af-8042-73d971593471,7c2c7109-a5ac-496c-a39d-556fa5f0ac2e,7,000,0,0,000,92000000000098303,3.0,2019-08-21,Лесхозная,9201,9201,220676d2-4d77-4b1e-88a0-affaa9579684,,67000000000,67310000,21,6fdecb78-893a-4e3f-a5ba-aa062459463b,000,920000000000983,299055,658dea5e-0df7-4ec0-ad8a-77dc91c9cabf,92,ул,2015-07-15,0983,,,2020-08-30,000,0000,000,0,,0000,,0
0,e089c4e1-dea3-40af-8042-73d971593471,658dea5e-0df7-4ec0-ad8a-77dc91c9cabf,7,000,0,0,000,92000000000098302,2.0,2015-07-15,Лесхозная,9201,9201,7c2c7109-a5ac-496c-a39d-556fa5f0ac2e,,67000000000,67000000,21,6fdecb78-893a-4e3f-a5ba-aa062459463b,000,920000000000983,299055,e089c4e1-dea3-40af-8042-73d971593471,92,ул,2015-05-14,0983,,,2020-08-30,000,0000,000,0,,0000,,0
